Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Year
JC Archer (RR),2020-2020,14,10,4,113,27*,18.83,63,179.36,-,-,-,5,10,2020
Abdul Samad (SRH),2020-2020,12,8,3,111,33,22.20,65,170.76,-,-,-,8,6,2020
Washington Sundar (RCB),2020-2020,15,9,3,111,30,18.50,95,116.84,-,-,-,10,2,2020
KH Pandya (MI),2020-2020,16,12,6,109,34,18.16,92,118.47,-,-,1,9,5,2020
GJ Maxwell (KXIP),2020-2020,13,11,4,108,32,15.42,106,101.88,-,-,1,9,0,2020
SS Tiwary (MI),2020-2020,7,5,-,103,42,20.60,80,128.75,-,-,-,8,3,2020
DJ Hooda (KXIP),2020-2020,7,5,4,101,62*,101.00,71,142.25,-,1,1,5,5,2020
V Shankar (SRH),2020-2020,7,5,1,97,52*,24.25,96,101.04,-,1,1,10,1,2020
R Parag (RR),2020-2020,12,8,1,86,42*,12.28,77,111.68,-,-,2,6,3,2020
TK Curran (RR),2020-2020,5,4,3,83,54*,83.00,62,133.87,-,1,-,5,3,2020
JR Philippe (RCB),2020-2020,5,5,1,78,33,19.50,77,101.29,-,-,1,9,1,2020
Gurkeerat Singh (RCB),2020-2020,8,5,5,71,21*,0.00,80,88.75,-,-,-,8,0,2020
Abhishek Sharma (SRH),2020-2020,8,7,2,71,31,14.20,56,126.78,-,-,-,6,3,2020
JO Holder (SRH),2020-2020,7,4,2,66,26*,33.00,53,124.52,-,-,-,5,3,2020
KM Jadhav (CSK),2020-2020,8,5,2,62,26,20.66,66,93.93,-,-,-,7,0,2020
MK Lomror (RR),2020-2020,3,3,-,59,47,19.66,54,109.25,-,-,-,2,3,2020
K Rabada (DC),2020-2020,17,8,4,56,15*,14.00,49,114.28,-,-,1,4,2,2020
LH Ferguson (KKR),2020-2020,5,2,2,43,24*,0.00,29,148.27,-,-,-,4,1,2020
K Gowtham (KXIP),2020-2020,2,2,1,42,22*,42.00,27,155.55,-,-,-,3,2,2020
YBK Jaiswal (RR),2020-2020,3,3,-,40,34,13.33,44,90.90,-,-,1,2,2,2020
S Gopal (RR),2020-2020,14,5,1,37,23*,9.25,39,94.87,-,-,-,3,0,2020
R Ashwin (DC),2020-2020,15,6,3,37,14*,12.33,34,108.82,-,-,-,3,1,2020
Rashid Khan (SRH),2020-2020,16,7,3,35,14,8.75,30,116.66,-,-,1,3,2,2020
CH Morris (RCB),2020-2020,9,5,1,34,25*,8.50,21,161.90,-,-,1,2,3,2020
N Jagadeesan (CSK),2020-2020,5,2,-,33,33,16.50,29,113.79,-,-,1,4,0,2020
SN Khan (KXIP),2020-2020,5,3,1,33,14*,16.50,29,113.79,-,-,-,5,0,2020
M Vijay (CSK),2020-2020,3,3,-,32,21,10.66,43,74.41,-,-,-,4,0,2020
AT Carey (DC),2020-2020,3,3,1,32,14*,16.00,29,110.34,-,-,-,0,1,2020
CJ Jordan (KXIP),2020-2020,9,5,2,29,13,9.66,31,93.54,-,-,-,2,0,2020
NA Saini (RCB),2020-2020,13,3,2,27,12*,27.00,27,100.00,-,-,-,3,0,2020
NM Coulter-Nile (MI),2020-2020,7,2,1,25,24*,25.00,15,166.66,-,-,-,4,0,2020
KL Nagarkoti (KKR),2020-2020,10,6,3,22,8*,7.33,31,70.96,-,-,1,1,0,2020
HV Patel (DC),2020-2020,5,2,-,21,16,10.50,24,87.50,-,-,-,2,0,2020
TU Deshpande (DC),2020-2020,5,2,1,21,20*,21.00,12,175.00,-,-,-,2,1,2020
JDS Neesham (KXIP),2020-2020,5,3,1,19,10*,9.50,18,105.55,-,-,-,0,1,2020
T Banton (KKR),2020-2020,2,2,-,18,10,9.00,20,90.00,-,-,-,1,1,2020
Mohammed Siraj (RCB),2020-2020,9,3,2,17,10*,17.00,14,121.42,-,-,-,2,0,2020
KK Nair (KXIP),2020-2020,4,3,1,16,15*,8.00,14,114.28,-,-,1,2,0,2020
JL Pattinson (MI),2020-2020,10,2,1,15,11,15.00,13,115.38,-,-,-,2,0,2020
Prabhsimran Singh (KXIP),2020-2020,2,2,-,15,11,7.50,15,100.00,-,-,-,2,0,2020
I Udana (RCB),2020-2020,10,4,1,15,10*,5.00,11,136.36,-,-,1,1,1,2020
Imran Tahir (CSK),2020-2020,3,1,1,13,13*,0.00,10,130.00,-,-,-,2,0,2020
Kuldeep Yadav (KKR),2020-2020,5,2,1,13,12,13.00,21,61.90,-,-,-,1,0,2020
SN Thakur (CSK),2020-2020,9,2,1,12,11,12.00,21,57.14,-,-,-,0,0,2020
MM Ali (RCB),2020-2020,3,3,-,12,11,4.00,16,75.00,-,-,1,1,0,2020
Sandeep Sharma (SRH),2020-2020,13,5,3,12,9,6.00,15,80.00,-,-,1,1,0,2020
Mohammad Nabi (SRH),2020-2020,1,1,1,11,11*,0.00,8,137.50,-,-,-,2,0,2020
RK Singh (KKR),2020-2020,1,1,-,11,11,11.00,11,100.00,-,-,-,1,0,2020
Shivam Mavi (KKR),2020-2020,8,3,1,10,9,5.00,14,71.42,-,-,1,1,0,2020
CV Varun (KKR),2020-2020,13,3,1,10,7*,5.00,15,66.66,-,-,-,0,0,2020
JD Unadkat (RR),2020-2020,7,1,-,9,9,9.00,13,69.23,-,-,-,0,0,2020
AS Rajpoot (RR),2020-2020,6,2,1,9,7*,9.00,10,90.00,-,-,-,0,1,2020
P Dubey (DC),2020-2020,3,1,1,7,7*,0.00,13,53.84,-,-,-,0,0,2020
S Nadeem (SRH),2020-2020,7,2,1,7,5,7.00,8,87.50,-,-,-,1,0,2020
DJ Bravo (CSK),2020-2020,6,2,-,7,7,3.50,6,116.66,-,-,1,0,0,2020
DL Chahar (CSK),2020-2020,14,3,2,7,5*,7.00,12,58.33,-,-,1,0,0,2020
Ravi Bishnoi (KXIP),2020-2020,14,3,2,7,6*,7.00,12,58.33,-,-,-,1,0,2020
A Nortje (DC),2020-2020,16,5,4,7,3*,7.00,6,116.66,-,-,-,0,0,2020
AJ Tye (RR),2020-2020,1,1,-,6,6,6.00,6,100.00,-,-,-,0,1,2020
JJ Bumrah (MI),2020-2020,15,1,1,5,5*,0.00,3,166.66,-,-,-,0,0,2020
M Ashwin (KXIP),2020-2020,9,1,-,4,4,4.00,4,100.00,-,-,-,0,0,2020
Kartik Tyagi (RR),2020-2020,10,3,2,4,2*,4.00,6,66.66,-,-,-,0,0,2020
DS Kulkarni (MI),2020-2020,1,1,1,3,3*,0.00,2,150.00,-,-,-,0,0,2020
T Natarajan (SRH),2020-2020,16,3,3,3,3*,0.00,5,60.00,-,-,-,0,0,2020
RD Chahar (MI),2020-2020,15,1,1,2,2*,0.00,4,50.00,-,-,-,0,0,2020
M Prasidh Krishna (KKR),2020-2020,6,2,2,2,2*,0.00,4,50.00,-,-,-,0,0,2020
Mohammed Shami (KXIP),2020-2020,14,3,2,2,2*,2.00,3,66.66,-,-,1,0,0,2020
DW Steyn (RCB),2020-2020,3,1,1,1,1*,0.00,2,50.00,-,-,-,0,0,2020
NS Naik (KKR),2020-2020,1,1,-,1,1,1.00,3,33.33,-,-,-,0,0,2020
Mujeeb Ur Rahman (KXIP),2020-2020,2,1,-,1,1,1.00,3,33.33,-,-,-,0,0,2020
Shahbaz Ahmed (RCB),2020-2020,2,1,1,1,1*,0.00,1,100.00,-,-,-,0,0,2020
VR Aaron (RR),2020-2020,3,2,1,1,1,1.00,10,10.00,-,-,-,0,0,2020
YS Chahal (RCB),2020-2020,15,2,1,1,1,1.00,3,33.33,-,-,-,0,0,2020
MR Marsh (SRH),2020-2020,1,1,-,-,-,0.00,1,0.00,-,-,1,0,0,2020
TA Boult (MI),2020-2020,15,1,-,-,-,0.00,1,0.00,-,-,1,0,0,2020
